id,categoryName,type,amount,date,note
1,Other,income,500,2019-09-01,
2,medicine,expense,55,2019-09-01,
3,Shopping,expense,1100,2019-09-01,ganesh
4,General,expense,15,2019-09-02,
6,EMI,expense,2300,2019-09-02,
7,Other,income,4600,2019-08-05,previous balance
8,General,expense,100,2019-09-02,
9,Fuel,expense,300,2019-09-03,
10,Loan,income,13000,2019-08-26,hdfc mobile
11,Eating Out,expense,600,2019-09-04,
13,Salary,income,25000,2019-09-06,
14,EMI,expense,2287,2019-09-06,mobile emi
15,Bills,expense,3470,2019-09-06,credit card
16,Bills,expense,1300,2019-09-06,light bill
17,mother,expense,2000,2019-09-06,
18,home experience,expense,500,2019-09-06,
19,Shopping,expense,199,2019-09-07,
20,personal,expense,460,2019-09-07,
21,Bills,expense,300,2019-09-09,Cable
22,investment,expense,2000,2019-09-05,
23,Gifts,expense,100,2019-09-10,teju
24,hobbies,expense,180,2019-09-10,
25,hobbies,expense,300,2019-09-12,chapri
26,Eating Out,expense,300,2019-09-13,
27,Fuel,expense,300,2019-09-11,
28,General,expense,60,2019-09-15,
29,Shopping,expense,40,2019-09-15,
30,Eating Out,expense,33,2019-09-16,
31,General,expense,240,2019-09-16,apple
32,General,expense,160,2019-09-16,snacks
33,General,expense,320,2019-09-16,
34,Bills,expense,295,2019-09-17,airtel
35,Ashu,expense,2000,2019-09-17,
36,hobbies,expense,300,2019-09-18,
37,Gifts,expense,100,2019-09-19,gifts
38,medicine,expense,200,2019-09-19,
39,Fuel,expense,310,2019-09-21,
40,Shopping,expense,525,2019-09-21,
41,Travel,expense,255,2019-09-20,
42,Gifts,expense,140,2019-09-20,
43,Shopping,expense,1100,2019-09-22,mirror
44,Travel,expense,1400,2019-09-21,pass
